Anno: 2020,,,,,,,,,,,,,
Area di residenza: Sud,,,,,,,,,,,,,
,,Vecchiaia,Vecchiaia,Invalidita',Invalidita',Superstite,Superstite,Pensioni/assegni sociali,Pensioni/assegni sociali,Invalidi civili,Invalidi civili,TOTALE,TOTALE
,,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile,Numero pensioni,Importo medio mensile
Abruzzo,,187874,"1053,84",25910,"674,13",82550,"550,58",20020,"436,73",80516,"425,43",396870,"765,75"
Molise,,45261,"907,98",7286,"614,54",20814,"487,13",3993,"418,28",19342,"426,89",96696,"678,82"
Campania,Napoli,211849,1305,42084,"770,74",124515,"701,59",82619,"474,61",224678,"418,13",685745,"772,03"
Campania,Avellino,47227,"891,19",9958,"645,22",24057,"496,45",7346,"418,91",31126,"424,52",119714,"641,09"
Campania,Benevento,34834,"844,47",9299,"593,27",17542,"480,56",5459,"415,89",22655,"431,37",89789,"617,07"
Campania,Caserta,74397,"1010,6",16302,"671,83",40176,"571,89",18339,"445,67",56911,"418,1",206125,"684,44"
Campania,Salerno,114266,"961,75",23689,"622,3",58685,"541,66",19402,"450,79",67955,"422,36",283997,"682,66"
Campania,TOTALE,482573,"1104,59",101332,"691,5",264975,"613,25",133165,"461,67",403325,"420,07",1385370,"719,32"
Puglia,,462841,"1075,66",88304,"679,51",209798,"592,06",79663,"430,2",301859,426,1142465,"739,57"
Basilicata,,71226,"955,65",16365,"625,01",36279,"519,86",8354,"412,1",34225,"419,74",166449,"690,68"
Calabria,,204856,"950,7",55205,"624,03",108221,"546,08",40259,"433,11",167614,"423,75",576155,"653,93"
TOTALE,,1454631,"1053,75",294402,"668,13",722637,"581,56",285454,"445,05",1006881,"423,01",3764005,"718,05"
